genere_categoria,nome_categoria,nome,prezzo_originale,prezzo_scontato,immagine,link
Donna,Dècolletè,Melluso Gift Card Virtuale,"50,00 €",,https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/g/i/gift-mobile1.jpg,https://www.melluso.com/it/gift-card-regalo-melluso-calzature.html
Donna,Dècolletè,Décolleté donna in pelle nero d100z,"129,90 €","116,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D100Z-246459-0000.jpg,https://www.melluso.com/it/decollete-donna-in-pelle-nero-d100z-d100z-246459.html
Donna,Dècolletè,Décolleté donna slingback in pelle nude e bianco e1690,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/E/1/E1690-243926-0000.jpg,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-nude-e-bianco-e1690-e1690-243926.html
Donna,Dècolletè,Décolleté donna in pelle blu notte d100z,"129,90 €","116,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D100Z-246458-0000.jpg,https://www.melluso.com/it/decollete-donna-in-pelle-blu-notte-d100z-d100z-246458.html
Donna,Dècolletè,Décolleté donna in camoscio blu abyss d110z,"129,90 €","116,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D110Z-247706-0000.jpg,https://www.melluso.com/it/decollete-donna-in-camoscio-blu-abyss-d110z-d110z-247706.html
Donna,Dècolletè,Décolleté donna in camoscio fondotinta d110z,"129,90 €","116,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D110Z-247707-0000.jpg,https://www.melluso.com/it/decollete-donna-in-camoscio-fondotinta-d110z-d110z-247707.html
Donna,Dècolletè,Décolleté donna in pelle abyss d110z,"129,90 €","116,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D110Z-243459-0000.jpg,https://www.melluso.com/it/decollete-donna-in-pelle-abyss-d110z-d110z-243459.html
Donna,Dècolletè,Décolleté donna in camoscio blu notte d116z,"129,90 €","116,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D116Z-247747-0000.jpg,https://www.melluso.com/it/decollete-donna-in-camoscio-blu-notte-d116z-d116z-247747.html
Donna,Dècolletè,Décolleté donna  in pelle nero d160zv,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D160ZV-247205-0000.jpg,https://www.melluso.com/it/decollete-donna-in-pelle-nero-d160zv-d160zv-247205.html
Donna,Dècolletè,Décolleté donna  in pelle nude d160zv,"149,90 €","134,91 €",https://www.melluso.com/media/catalog/product/cache/0aca786c35f44707039baeb18f615e76/D/1/D160ZV-247206-0000.jpg,https://www.melluso.com/it/decollete-donna-in-pelle-nude-d160zv-d160zv-247206.html
