titolo,prezzo_originale,prezzo_scontato,immagine,link,colore_codice,categoria,genere
"Sneakers Donna in Pelle, Tela e Materiale Tecnico","97,50 €","139,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512930D_707_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-tela-e-materiale-tecnico-25p-e512930d,4,sneakers,donna
"Sneakers Donna in Pelle, Tela e Materiale Tecnico","111,50 €","159,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512940D_707_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-tela-e-materiale-tecnico-25p-e512940d,4,sneakers,donna
Sneakers Donna in Pelle,"97,50 €","139,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E306520D_100_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-25p-e306520d,5,sneakers,donna
"Sneakers Donna in Suede, Pelle e Materiale Tecnico","149,50 €",,https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512864D_100_02_jpg.webp,https://nerogiardini.it/it/25p-e512864d,5,sneakers,donna
"Sneakers Donna in Pelle, Tela e Materiale Tecnico","111,50 €","159,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512940D_707_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-tela-e-materiale-tecnico-25p-e512940d,5,sneakers,donna
Sneakers Donna in Pelle e Materiale Tecnico,"115,50 €","165,00 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512942D_100_02_jpg.webp,https://nerogiardini.it/it/25p-e512942d,5,sneakers,donna
Sneakers Donna in Pelle,"97,50 €","139,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E406520D_535_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-25p-e406520d,6,sneakers,donna
Sneakers Donna in Suede e Pelle,"90,50 €","129,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513005D_514_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-suede-e-pelle-25p-e513005d,6,sneakers,donna
"Sneakers Donna in Suede, Pelle e Materiale Tecnico","104,50 €","149,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512865D_421_02_jpg.webp,https://nerogiardini.it/it/25p-e512865d,8,sneakers,donna
"Sneakers Donna in Pelle, Suede e Materiale Tecnico","97,50 €","139,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513007D_421_02_jpg.webp,https://nerogiardini.it/it/25p-e513007d,8,sneakers,donna
Snekares Donna in Pelle,"97,50 €","139,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512850D_418_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-25p-e512850d,9,sneakers,donna
"Sneakers Donna in Pelle, Tela e Suede","104,50 €","149,50 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E512880D_726_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-tela-e-suede-25p-e512880d,9,sneakers,donna
Sneakers Donna in Pelle e Materiale Tecnico,"101,50 €","145,00 € (30%)",https://nerogiardini.it/media/amasty/webp/catalog/product/cache/453e993036a55b4488f36b94a6aefb0d/foto_ng/E513010D_505_02_jpg.webp,https://nerogiardini.it/it/sneakers-donna-in-pelle-e-materiale-tecnico-25p-e513010d,9,sneakers,donna
