genere_categoria,nome_categoria,nome,prezzo_originale,prezzo_scontato,immagine,link,colore1,colore2,categoria,sottocategoria
donna,sneakers,Sneakers con zeppa da donna beige e giallo con lacci,84.9,59.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517661822_2_7249.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517661822001.html,beige,giallo,sneakers,zeppa
donna,sneakers,Sneakers con zeppa da donna verde e celeste con lacci,84.9,59.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517661811_2_78be.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517661811001.html,verde,celeste,sneakers,zeppa
donna,sneakers,Sneakers da donna beige e verde con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517659622_2_4fb7.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517659622001.html,beige,verde,sneakers,
donna,sneakers,Sneakers con zeppa da donna beige con lacci,84.9,59.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517661844_2_59e1.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517661844001.html,beige,,sneakers,zeppa
donna,sneakers,Sneakers eco-sostenibili da donna beige con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517662622_2_2bc4.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517662622001.html,beige,,sneakers,
donna,sneakers,Sneakers con zeppa da donna beige e platino con zip,94.9,66.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517661722_2_d623.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517661722001.html,beige,platino,sneakers,zeppa
donna,sneakers,Sneakers con zeppa da donna rosa e bianco con lacci,84.9,59.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517661800_2_2984.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517661800001.html,rosa,bianco,sneakers,zeppa
donna,sneakers,Sneakers con zeppa da donna rosa e beige con zip,94.9,66.43,https://www.igieco.it/shop/media/catalog/product/2/0/202517661300_2_74fa.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517661300001.html,beige,rosa,sneakers,zeppa
donna,sneakers,Sneakers con zeppa da donna beige con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517661600_2_c885.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517661600001.html,beige,,sneakers,zeppa
donna,sneakers,Sneakers con zeppa da donna bianco e celeste con lacci,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517661400_2_08af.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517661400001.html,celeste,bianco,sneakers,zeppa
donna,sneakers,Sneakers da donna platino e beige con zip,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517660733_2_c7db.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517660733001.html,beige,platino,sneakers,
donna,sneakers,Sneakers con zeppa da donna bianco e rosa con lacci,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517661411_2_4136.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517661411001.html,rosa,bianco,sneakers,zeppa
donna,sneakers,Sneakers eco-sostenibili da donna celeste con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517662611_2_57db.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517662611001.html,celeste,,sneakers,
donna,sneakers,Sneakers da donna bianco con zip,99.9,69.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517660700_2_4496.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517660700001.html,bianco,,sneakers,
donna,sneakers,Sneakers da donna bianco e beige con lacci,79.9,55.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517659600_2_bcfa.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517659600001.html,beige,bianco,sneakers,
donna,sneakers,Sneakers da donna bianco e rosa con lacci,89.9,62.93,https://www.igieco.it/shop/media/catalog/product/2/0/202517660533_2_ac2f.jpg?width=342&height=456&store=i_it&image-type=small_image,https://www.igieco.it/shop/i_it/202517660533001.html,rosa,bianco,sneakers,
