nome,link,scontato,prezzo,genere,categoria,mat1,mat2,colore1,colore2,id_prodotto,differenza_prezzo
Décolleté donna in pelle nero d100z,https://www.melluso.com/it/decollete-donna-in-pelle-nero-d100z-d100z-246459.html,116.91,129.9,Donna,Dècolletè,pelle,,nero,,d100z,12.990000000000009
Décolleté donna slingback in pelle nude e bianco e1690,https://www.melluso.com/it/decollete-donna-slingback-in-pelle-nude-e-bianco-e1690-e1690-243926.html,134.91,149.9,Donna,Dècolletè,pelle,,bianco,nude,e1690,14.990000000000009
Décolleté donna in pelle blu notte d100z,https://www.melluso.com/it/decollete-donna-in-pelle-blu-notte-d100z-d100z-246458.html,116.91,129.9,Donna,Dècolletè,pelle,,blu,,d100z,12.990000000000009
Décolleté donna in camoscio blu abyss d110z,https://www.melluso.com/it/decollete-donna-in-camoscio-blu-abyss-d110z-d110z-247706.html,116.91,129.9,Donna,Dècolletè,camoscio,,blu,,d110z,12.990000000000009
Décolleté donna in camoscio fondotinta d110z,https://www.melluso.com/it/decollete-donna-in-camoscio-fondotinta-d110z-d110z-247707.html,116.91,129.9,Donna,Dècolletè,camoscio,,fondotinta,,d110z,12.990000000000009
Décolleté donna in pelle abyss d110z,https://www.melluso.com/it/decollete-donna-in-pelle-abyss-d110z-d110z-243459.html,116.91,129.9,Donna,Dècolletè,pelle,,,,d110z,12.990000000000009
Décolleté donna in camoscio blu notte d116z,https://www.melluso.com/it/decollete-donna-in-camoscio-blu-notte-d116z-d116z-247747.html,116.91,129.9,Donna,Dècolletè,camoscio,,blu,,d116z,12.990000000000009
Décolleté donna  in pelle nero d160zv,https://www.melluso.com/it/decollete-donna-in-pelle-nero-d160zv-d160zv-247205.html,134.91,149.9,Donna,Dècolletè,pelle,,nero,,d160zv,14.990000000000009
Décolleté donna  in pelle nude d160zv,https://www.melluso.com/it/decollete-donna-in-pelle-nude-d160zv-d160zv-247206.html,134.91,149.9,Donna,Dècolletè,pelle,,nude,,d160zv,14.990000000000009
Décolleté donna  in pelle blu abyss d160zv,https://www.melluso.com/it/decollete-donna-in-pelle-blu-abyss-d160zv-d160zv-247207.html,134.91,149.9,Donna,Dècolletè,pelle,,blu,,d160zv,14.990000000000009
Décolleté donna  in pelle platino d160w,https://www.melluso.com/it/decollete-donna-in-pelle-platino-d160w-d160zv-247208.html,134.91,149.9,Donna,Dècolletè,pelle,,platino,,d160w,14.990000000000009
Décolleté donna  in pelle milk d160w,https://www.melluso.com/it/decollete-donna-in-pelle-nude-d160w-d160zv-247209.html,134.91,149.9,Donna,Dècolletè,pelle,,,,d160w,14.990000000000009
