titolo,colore_codice,categoria,genere,colore,materiale,differenza_prezzo,prezzo,scontato
"Sneakers Donna in Pelle, Tela e Materiale Tecnico",4,sneakers,donna,blu,pelle,42.0,139.5,97.5
"Sneakers Donna in Pelle, Tela e Materiale Tecnico",4,sneakers,donna,blu,pelle,48.0,159.5,111.5
Sneakers Donna in Pelle,5,sneakers,donna,nero,pelle,42.0,139.5,97.5
"Sneakers Donna in Suede, Pelle e Materiale Tecnico",5,sneakers,donna,nero,pelle,,,149.5
"Sneakers Donna in Pelle, Tela e Materiale Tecnico",5,sneakers,donna,nero,pelle,48.0,159.5,111.5
Sneakers Donna in Pelle e Materiale Tecnico,5,sneakers,donna,nero,pelle,49.5,165.0,115.5
Sneakers Donna in Pelle,6,sneakers,donna,verde,pelle,42.0,139.5,97.5
Sneakers Donna in Suede e Pelle,6,sneakers,donna,verde,pelle,39.0,129.5,90.5
"Sneakers Donna in Suede, Pelle e Materiale Tecnico",8,sneakers,donna,marrone,pelle,45.0,149.5,104.5
"Sneakers Donna in Pelle, Suede e Materiale Tecnico",8,sneakers,donna,marrone,pelle,42.0,139.5,97.5
Snekares Donna in Pelle,9,sneakers,donna,argento,pelle,42.0,139.5,97.5
"Sneakers Donna in Pelle, Tela e Suede",9,sneakers,donna,argento,pelle,45.0,149.5,104.5
Sneakers Donna in Pelle e Materiale Tecnico,9,sneakers,donna,argento,pelle,43.5,145.0,101.5
Sneakers Donna in Pelle,9,sneakers,donna,argento,pelle,42.0,139.5,97.5
Sneakers Donna in Pelle e Materiale Tecnico,9,sneakers,donna,argento,pelle,45.0,149.5,104.5
Sneakers Donna in Pelle e Suede,9,sneakers,donna,argento,pelle,43.5,145.0,101.5
"Sneakers Donna in Pelle, Tela e Suede",10,sneakers,donna,oro,pelle,45.0,149.5,104.5
Sneakers Donna in Pelle e Materiale Tecnico,10,sneakers,donna,oro,pelle,48.0,159.5,111.5
Sneakers Donna in Pelle,10,sneakers,donna,oro,pelle,48.0,159.5,111.5
Sneakers Donna in Pelle e Materiale Tecnico,10,sneakers,donna,oro,pelle,49.5,165.0,115.5
Sneakers Donna in Pelle,10,sneakers,donna,oro,pelle,42.0,139.5,97.5
Sneakers Donna in Pelle,10,sneakers,donna,oro,pelle,46.5,155.0,108.5
Sneakers Donna in Pelle e Materiale Tecnico,10,sneakers,donna,oro,pelle,39.0,129.5,90.5
Snekares Donna in Pelle,12,sneakers,donna,platino,pelle,42.0,139.5,97.5
Sneakers Donna in Pelle e Materiale Tecnico,12,sneakers,donna,platino,pelle,43.5,145.0,101.5
Sneakers Donna in Pelle,12,sneakers,donna,platino,pelle,42.0,139.5,97.5
Sneakers Donna in Pelle e Materiale Tecnico,12,sneakers,donna,platino,pelle,45.0,149.5,104.5
Sneakers Donna in Pelle e Suede,12,sneakers,donna,platino,pelle,43.5,145.0,101.5
Sneakers Donna in Pelle e Materiale Tecnico,12,sneakers,donna,platino,pelle,45.0,149.5,104.5
Sneakers Donna in Pelle e Suede,13,sneakers,donna,beige,pelle,45.0,149.5,104.5
Sneakers Donna in Pelle e Suede,13,sneakers,donna,beige,pelle,42.0,139.5,97.5
Sneakers Donna in Pelle e Materiale Tecnico,13,sneakers,donna,beige,pelle,42.0,139.5,97.5
Sneakers Donna in Pelle e Materiale Tecnico,13,sneakers,donna,beige,pelle,45.0,149.5,104.5
"Sneakers Donna in Pelle, Suede e Tela",14,sneakers,donna,avorio,pelle,48.0,159.5,111.5
"Sneakers Donna in Suede, Tela e Pelle",14,sneakers,donna,avorio,pelle,45.0,149.5,104.5
Sneakers Donna in Pelle e Materiale Tecnico,14,sneakers,donna,avorio,pelle,43.5,145.0,101.5
Sneakers Donna in Pelle e Materiale Tecnico,14,sneakers,donna,avorio,pelle,42.0,139.5,97.5
Sneakers Donna in Pelle,14,sneakers,donna,avorio,pelle,45.0,149.5,104.5
Sneakers Donna in Pelle,14,sneakers,donna,avorio,pelle,42.0,139.5,97.5
Sneakers Donna in Pelle e Suede,14,sneakers,donna,avorio,pelle,42.0,139.5,97.5
"Sneakers Donna in Suede, Tela e Materiale Tecnico",14,sneakers,donna,avorio,suede,48.0,159.5,111.5
"Sneakers Donna in Pelle, Suede e Tela",15,sneakers,donna,rosa,pelle,48.0,159.5,111.5
Sneakers Donna in Suede e Pelle,15,sneakers,donna,rosa,pelle,39.0,129.5,90.5
Sneakers Donna in Pelle e Suede,15,sneakers,donna,rosa,pelle,43.5,145.0,101.5
"Sneakers Donna in Suede, Tela e Materiale Tecnico",15,sneakers,donna,rosa,suede,43.5,145.0,101.5
Sneakers Donna in Pelle,18,sneakers,donna,bianco,pelle,45.0,149.5,104.5
Sneakers Donna in Pelle,18,sneakers,donna,bianco,pelle,42.0,139.5,97.5
Sneakers Donna in Pelle,18,sneakers,donna,bianco,pelle,30.0,149.5,119.5
Sneakers Donna in Pelle,18,sneakers,donna,bianco,pelle,45.0,149.5,104.5
Sneakers Donna in Pelle e Materiale Tecnico,18,sneakers,donna,bianco,pelle,43.5,145.0,101.5
Sneakers Donna in Pelle,18,sneakers,donna,bianco,pelle,48.0,159.5,111.5
Snekares Donna in Pelle,18,sneakers,donna,bianco,pelle,42.0,139.5,97.5
"Sneakers Donna in Pelle, Tela e Materiale Tecnico",18,sneakers,donna,bianco,pelle,48.0,159.5,111.5
Sneakers Donna in Pelle,19,sneakers,donna,multicolore,pelle,,,300.0
Sneakers Donna in Suede e Pelle,195,sneakers,donna,avio,pelle,39.0,129.5,90.5
"Sneakers Donna in Suede, Tela e Pelle",196,sneakers,donna,celeste,pelle,30.0,149.5,119.5
Sneakers Donna in Pelle e Suede,196,sneakers,donna,celeste,pelle,45.0,149.5,104.5
